ID,DATE,NAME,EVENT
1,1920, Government of Ireland Act         , The Government of Ireland Act led to the creation of NI.                   
2,1921, First NI Parliament Elected       , The first NI parliament was elected with James Craig as the first prime minister. 
3,1921, Anglo-Irish Truce and Treaty      , A truce was agreed between the IRA and the British army. It was followed by negotiations leading to the Anglo-Irish treaty and the creation of the Irish Free State consisting of twenty-six counties of Ireland. 
4,1949, Irish Republic Established        , The south became the Irish Republic.                                       
5,1949, Ireland Act Passed                , The Ireland Act was passed by the British parliament: it regularised the new constitutional position and affirmed that the status of NI would only change with the agreement of the NI parliament. 
6,1956, IRA Border Campaign               , The IRA launched its ‘border campaign’.                                    
7, 1962-02    , IRA Border Campaign Ends          , The IRA border campaign officially ended.                                  
8, 1963-03    , Terence O’Neill Becomes PM        , Terence O’Neill became PM of NI.                                           
9, 1963-06    , Protestant News Letter Praise     , The Protestant News Letter praised Pope John XXIII.                        
10, 1963-09    , Unionist Leadership Crisis Denied ," Following reports of a Unionist party leadership crisis, Brian Faulkner denied trying to oust O’Neill. "
11, 1964-01    , Campaign for Social Justice       ," The Campaign for Social Justice was founded in Dungannon, County Tyrone.   "
12, 1964-08    , Trade Unions Recognition          , Stormont recognised the Northern Committee of the Irish Congress of Trade Unions. 
13, 1964-09    , Divis Street Riots                , The Divis Street riots broke out after police removed a tricolour from a republican office following protests by the Reverend Ian Paisley. 
14, 1964-10    , Labour Wins UK Election           , A British general election brought Labour to power.                        
15, 1965-01    , Lemass-O’Neill Meeting            , Taoiseach Seán Lemass met O’Neill at Stormont.                             
16, 1965-02    , O’Neill Visits Dublin             , O’Neill visited Lemass in Dublin.                                          
17, 1965-02    , Nationalist Party Opposition      , The Nationalist party assumed the role of official opposition.             
18, 1965-02    , Lockwood Committee Decision       , The Lockwood committee recommended Coleraine rather than Londonderry as the site for NI’s second university. 
19, 1965-04, Campaign for Democracy in Ulster  , The Campaign for Democracy in Ulster became active at Westminster.         
20, 1966-02    , Paisley-Carson Visit              , Paisley brought Edward Carson jnr to Belfast. Unionist party headquarters was petrol-bombed. Three Catholic schools were attacked. 
21, 1966-03    , Ulster Protestant Volunteers Formed ," The Ulster Protestant Volunteers, a loyalist group which supported Paisley, was formed. "
22, 1966-03    , UVF Threat Issued                 , The UVF issued a threat to the IRA.                                        
23, 1966-03    , Gerry Fitt Elected                ," In the British general election, Gerry Fitt was elected MP for West Belfast. "
24, 1966-04    , Easter Rising Commemorations      ," Easter Rising celebrations were held north and south. They were controversial and tense, but there were no serious disturbances. O’Neill later said the commemorations soured the whole situation and from that moment on life became very difficult. The Protestant Telegraph was launched by Paisley. "
25, 1966-05    , UVF Fire-Bomb Attack              , 77-year-old Protestant widow Matilda Gould was severely burned in a UVF fire-bomb attack on a Catholic-owned bar in Belfast. She died in June. 
26, 1966-06    , Cromac Square Riots               ," Paisleyites and nationalists clashed in Cromac Square, Belfast, with prolonged rioting. Paisley and others were charged with unlawful assembly. "
27, 1966-06    , John Patrick Scullion Death       ," Catholic man John Patrick Scullion died two weeks after being shot by the UVF in the Falls district. Peter Ward was shot dead by the UVF, and two others injured, in the Malvern Street shootings. The UVF was banned. "
28, 1966-07    , Royal Visit Incident              , A nationalist workman threw a brick at the Queen’s car during a royal visit to Belfast. 
29, 1966-07    , Paisley Imprisoned                ," Paisley was imprisoned for unlawful assembly, his third conviction but first prison term. "
30, 1966-09    , O’Neill’s Leadership Challenge    ," O’Neill flew back from England, declaring a conspiracy had been mounted against him in his absence. He won a party vote of confidence. "
31, 1966-11    , Jack Lynch Becomes Taoiseach      , Jack Lynch replaced Seán Lemass as Taoiseach.                              
32, 1967-01    , NICRA Formed                          , The Northern Ireland Civil Rights Association was formed.                  
33, 1967-03        , Republican Clubs Banned               , The Republican Clubs organisation was banned.                              
34, 1967-04        , Harry West Dismissed                  , O’Neill dismissed agriculture minister Harry West over a Fermanagh land deal. 
35, 1968-04        , Armagh Parades Ban                    , All parades were banned for one month in Armagh to avoid clashes between republicans commemorating the Easter Rising and a threatened UPV counter-demonstration. 
36, 1968-04        , O’Neill’s Car Attacked                , O’Neill’s car was attacked by loyalist demonstrators in Belfast.           
37, 1968-06        , Caledon Housing Protest               ," Nationalist MP Austin Currie raised the Caledon housing issue after the local council allocated a house to teenage Protestant single girl. He staged a protest squat in the house, and was evicted by police. "
38, 1968-08        , First Civil Rights March              ," The first civil rights march took place, from Coalisland to Dungannon in Tyrone, in protest at housing allocation. Hundreds of UPV members assembled to confront them. "
39, 1968-10        , Londonderry March Violence            , A Londonderry civil rights march resulted in seventy-seven injured civilians as police batoned marchers. 
40,1968, People’s Democracy Founded            , The People’s Democracy group was founded.                                  
41,1968, Nationalist Party Withdrawal          , The Nationalist party withdrew as official opposition.                     
42,1968, Lynch-Wilson Meeting                  ," Lynch met PM Harold Wilson, blaming partition for Northern Ireland’s problems. "
43, 1968-11        , Downing Street Talks                  , O’Neill and ministers Brian Faulkner and William Craig met Wilson and Home Secretary James Callaghan at Downing Street. 
44, 1968-11        , O’Neill’s Reform Package              ," O’Neill announced a five-point reform package including an ombudsman, ending the company vote in local elections, a review of the Special Powers Act, a new Londonderry Development Commission, and a points system for housing allocation. "
45, 1968-11        , Armagh March Blocked                  , A civil rights march was held in Armagh. Paisley supporters blocked the city centre. 
46, 1968-12        , Paisley Summonsed                     , Paisley was summonsed for taking part in an illegal assembly.              
47, 1968-12        , O’Neill’s Crossroads Speech           , O’Neill delivered his ‘crossroads’ speech.                                 
48, 1968-12        , William Craig Dismissed               , O’Neill dismissed Craig from his cabinet.                                  
49, 1968-12        , Clydevalley Return                    , Paisley greeted the historic gunrunning ship the Clydevalley on its return to NI. 
50, 1969-01        , Burntollet Bridge Attack              , A PD march from Belfast to Londonderry was attacked by loyalists at Burntollet Bridge. 
51, 1969-01        , Bogside RUC Raid                      ," RUC members broke doors and windows in the Bogside, Londonderry.          "
52, 1969-01        , Newry Rioting                         , A PD march in Newry was followed by rioting and substantial damage.       
53, 1969-01        , Cameron Commission Announced          ," O’Neill announced the Cameron commission, headed by a Scottish judge, to investigate the causes of the 1968 disturbances. "
54, 1969-01        , Faulkner Resigns                      ," Faulkner resigned from O’Neill’s cabinet, citing the decision to set up the Cameron commission. "
55, 1969-01        , William Morgan Resigns                , Minister William Morgan also resigned.                                     
56, 1969-01        , Paisley Sentenced                     , Paisley was sentenced to three months’ imprisonment in relation to the Armagh demonstration. 
57, 1969-01        , Londonderry Commission                , A Londonderry Commission was named to replace the Corporation.            
58, 1969-02        , Shankill Road Rally                   ," Paisley led 5,000 people from the Shankill to a rally in the Ulster Hall. "
59, 1969-02        , O’Neill Leadership Challenge          ," Twelve dissident MPs held a meeting in Portadown, calling for O’Neill’s resignation. "
60, 1969-02        , Stormont Election                     , O’Neill called a Stormont election which produced a poor result for him.  
61, 1969-03        , RUC Armed in Border Areas             , It was announced that the RUC would carry arms on daytime duties in border areas. 
62, 1969-03        , Paisley and Bunting Jailed            , Paisley and Ronald Bunting lost their appeals and were sent to jail.      
63, 1969-03        , Castlereagh Bombing                   , Castlereagh electricity substation was wrecked by loyalist bombs. The IRA was wrongly blamed. 
64, 1969-03        , B Specials Mobilised                  ," O’Neill announced the part-time mobilisation of 1,000 B Specials to guard public utilities. "
65, 1969-04        , Dunadry Bombing                       ," A loyalist bomb damaged a water installation at Dunadry, County Antrim. The IRA was blamed. "
66, 1969-04        , Bernadette Devlin Elected             , Bernadette Devlin won the Mid-Ulster Westminster by-election.             
67, 1969-04        , Londonderry Rioting                   , Rioting broke out in Londonderry after a banned demonstration.            
68, 1969-04        , Silent Valley Bombing                 , More loyalist bombs damaged the Silent Valley water supply. The bombs cut off two-thirds of the water supply to Belfast. 
